mode,fromTab,toTab,durationMs,apiCallsCount,slowestApiMs,slowestApiPath,mainThreadHint,warnings,status
chain,START,Home,21157,0,0,,yes,initial_load; Tabwechsel >5s; main_thread_heavy,slow
chain,Home,Inbox,8455,0,0,,yes,Tabwechsel >5s; main_thread_heavy,slow
chain,Inbox,Einsatzliste,7393,4,63,/api/lineups/legacy/ai-preview,no,Tabwechsel >5s,ok
chain,Einsatzliste,Einsatzliste v2,2684,1,280,/api/lineups/legacy/lab-context,no,,ok
chain,Einsatzliste v2,Arena,6171,2,28,/api/lineups/legacy/ai-preview,no,Tabwechsel >5s,ok
chain,Arena,Saisonstand,6174,32,176,/api/media/team-logo/P-C,no,Tabwechsel >5s,ok
chain,Saisonstand,Teams,3315,10,117,/api/media/player-portrait/player-1630-chana,no,,ok
chain,Teams,Teams (revisit),3287,31,1552,/api/media/team-logo/V-V,no,,ok
chain,Teams,Spieler,4495,0,0,,no,,ok
chain,Spieler,Training,22408,7,3170,/api/media/team-logo/V-W,no,Tabwechsel >5s,slow
chain,Training,Gebäude,4999,0,0,,no,,ok
chain,Gebäude,Training (revisit),3237,0,0,,no,,ok
chain,Gebäude,Transfermarkt,5340,14,1492,/api/transfermarkt/free-agents,no,Tabwechsel >5s,ok
chain,Transfermarkt,Scouting,4142,2,635,/api/transfermarkt/free-agents,no,,ok
chain,Scouting,Historie,4360,1,1327,/api/transfermarkt/history,no,,ok
chain,Historie,Ranks,3913,0,0,,no,,ok
chain,Ranks,Diszis,4021,0,0,,no,,ok
chain,Diszis,Sponsoren,7989,1,2108,/api/season/prize-preview,no,Tabwechsel >5s,ok
chain,Sponsoren,Lexikon,3525,0,0,,no,,ok
chain,Lexikon,Cockpit,3147,0,0,,no,,ok
chain,Cockpit,Generator,126345,0,0,,yes,"locator.waitFor: Timeout 120000ms exceeded.
Call log:
  - waiting for locator('[data-testid=""foundation-generator""]').first() to be visible
; Tabwechsel >5s; main_thread_heavy",failed
chain,Generator,Settings,3384,0,0,,no,,ok
chain,Settings,Admin,122498,0,0,,yes,"locator.waitFor: Timeout 120000ms exceeded.
Call log:
  - waiting for locator('[data-testid=""foundation-admin""]').first() to be visible
; Tabwechsel >5s; main_thread_heavy",failed
drilldown,Spieler,Spielerprofil (cold),20574,0,0,,yes,Tabwechsel >5s; main_thread_heavy,slow
drilldown,Spielerprofil,Spielerprofil (warm),30884,72,2819,/api/media/player-portrait/player-1230-lyrna,no,Tabwechsel >5s,slow
drilldown,Spielerprofil,Spieler-Tab overview,354,0,0,,no,,ok
drilldown,Spielerprofil,Spieler-Tab details,1607,0,0,,no,,ok
drilldown,Spielerprofil,Spieler-Tab contract,3836,0,0,,no,,ok
drilldown,Spielerprofil,Spieler-Tab training,2464,0,0,,no,,ok
drilldown,Spielerprofil,Spieler-Tab report,2465,0,0,,no,,ok
drilldown,Spielerprofil,Spieler-Tab career,2595,0,0,,no,,ok
drilldown,Teams,Teamprofil (cold),120007,0,0,,yes,"locator.click: Timeout 120000ms exceeded.
Call log:
  - waiting for getByRole('button', { name: 'Teamprofil' }).first()
; Tabwechsel >5s; main_thread_heavy",failed
drilldown,Teamprofil,Teamprofil (warm),246115,0,0,,yes,"locator.click: Timeout 120000ms exceeded.
Call log:
  - waiting for getByRole('button', { name: 'Teamprofil' }).first()
    - waiting for"" http://localhost:3000/foundation?view=teams&team=A-A"" navigation to finish...
    - navigated to ""http://localhost:3000/foundation?view=teams&team=A-A""
; Tabwechsel >5s; main_thread_heavy",failed
drilldown,Teams,Teams-Tab Portraits,120208,0,0,,yes,"locator.waitFor: Timeout 120000ms exceeded.
Call log:
  - waiting for locator('[data-testid=""team-portraits-grid""]').first() to be visible
; Tabwechsel >5s; main_thread_heavy",failed
drilldown,Teams,Teams-Tab Kader,406,0,0,,no,,ok
drilldown,Teams,Teams-Tab Verträge,123581,0,0,,yes,"locator.waitFor: Timeout 120000ms exceeded.
Call log:
  - waiting for locator('[data-testid=""foundation-teams-view""][data-team-tab=""contracts""]').first() to be visible
; Tabwechsel >5s; main_thread_heavy",failed
